CRN1	CRN2	CRN3	CRN4	CRN5	CRN6	CRN7	CRN8	CRN9	CRN10	CTL1	CTL2	CTL3	CTL4	CTL5	CTL6	CTL7	CTL8	CTL9	CTL10	CTL11	CTL12	CUR1	CUR2	CUR3	CUR4	CUR5	CUR6	CUR7	CUR8	CUR9	CUR10	CFD1	CFD2	CFD3	CFD4	CFD5	CFD6	CFD7	CFD8	CFD9	CFD10	CFD11	COP1	COP2	COP3	COP4	COP5	COP6	COP7	COP8	COP9	COP10
5	5	5	4	5	3	4	5	5	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4
5	5	4	5	4	5	4	5	5	4	5	5	5	5	4	4	3	5	4	4	5	5	4	5	4	5	4	5	5	5	4	5	4	4	5	5	5	4	5	5	5	4	5	3	5	5	5	5	5	5	5	5	4
5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	4	4	5	5	5	4	5	3	4	5	4	4	5	5	3	5	5	4	5	4	4	5	5	5	5	5	1	5	5	5	5	5	5	4	3	5
4	5	5	4	5	5	4	4	5	4	5	4	5	4	4	4	5	5	5	4	5	4	3	5	5	5	5	5	4	5	5	5	4	5	4	5	4	4	5	5	5	4	4	5	5	3	5	5	5	5	5	3	5
4	4	5	5	4	5	5	5	5	4	5	5	5	4	4	4	4	4	5	5	5	4	4	4	4	4	5	5	3	5	4	2	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4
4	4	5	4	5	5	3	5	4	4	5	4	5	5	4	5	4	5	4	5	5	5	4	5	4	5	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	1	4	4	4	5	4	4	4	4	3
5	5	5	5	4	5	5	5	3	3	5	5	3	4	5	5	5	2	5	5	4	5	5	4	4	4	4	3	5	3	4	3	5	5	5	5	5	5	5	5	5	5	5	1	5	5	4	3	3	3	2	5	3
4	3	4	4	5	4	3	5	4	3	4	4	4	4	3	5	3	3	4	4	5	4	4	4	4	4	4	5	5	5	4	4	5	5	5	5	5	4	4	3	5	4	4	3	5	5	5	4	5	5	5	4	4
5	5	5	5	2	5	4	1	1	5	5	5	5	5	4	3	5	5	3	3	5	3	4	5	5	3	5	5	5	4	3	4	5	5	5	4	5	5	5	5	5	5	4	1	5	5	4	5	4	3	1	1	1
4	5	4	4	4	4	4	5	3	3	4	5	5	5	4	5	2	4	4	4	5	4	4	3	4	4	4	3	5	3	3	2	5	5	5	5	4	4	3	4	4	4	4	5	3	3	5	5	3	4	4	5	3
4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3
3	4	4	3	4	4	4	3	5	3	3	4	3	3	2	3	2	2	2	4	3	4	2	3	2	4	4	4	3	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	4	2	3	5	3	5	5	4	3	3	2	3	3	3	4	3	2	2	2	5	3	4	5	2	3	2	3	4	3	3	4	3	4	4	4	3	3	3	3	4	4	3	3	5	5	5	4	4	3	2	3	3
2	4	3	2	4	3	3	4	4	2	2	2	4	3	3	3	3	3	2	4	3	4	3	4	2	3	3	3	3	4	2	3	4	3	4	3	3	3	2	3	4	3	4	2	3	3	4	3	3	2	3	4	3
5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	4	5	4	4	5	5	4	5	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	4	5	4	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3
3	5	5	5	5	5	4	3	3	4	5	5	5	5	5	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5
4	5	5	5	5	5	5	5	5	5	3	5	5	5	5	4	5	5	4	4	4	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	3
5	5	4	5	5	5	4	4	4	4	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	4	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5
5	4	4	5	4	1	3	5	5	1	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4
5	5	4	5	5	5	4	5	4	4	5	5	4	5	5	4	4	4	4	5	5	4	5	5	4	5	5	5	5	4	4	4	5	5	5	5	4	4	4	5	5	5	5	4	5	5	5	5	4	5	4	5	2
4	3	5	5	3	3	5	5	5	3	5	5	4	5	5	5	4	4	4	1	4	5	5	5	4	4	4	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	5	4	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	4	4	5	5	1	2	4	4	4	5	3	5	5	4	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	4
3	5	4	5	3	5	5	5	4	4	4	5	5	5	4	4	5	4	5	4	5	5	4	4	5	4	4	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	4	4	4	4	5	4	4	5	4	4
4	5	5	4	4	4	3	4	4	4	4	5	5	5	5	4	4	5	4	4	5	4	4	4	4	5	4	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	4	4	4	4	4
4	4	5	4	4	4	3	5	4	3	5	4	5	5	4	5	3	5	5	5	5	5	4	4	5	5	4	4	4	5	4	5	4	5	5	5	5	5	5	4	5	5	5	4	5	5	4	5	5	4	4	4	4
4	3	3	3	4	5	3	4	4	5	5	5	5	5	5	5	5	4	5	5	5	5	3	5	5	5	5	4	5	4	3	4	5	5	5	5	5	5	5	5	5	5	5	2	1	5	5	5	5	5	4	3	5
5	5	4	4	5	5	5	4	4	3	4	5	5	4	5	4	4	5	5	5	5	5	4	5	4	4	5	5	5	4	5	3	3	5	5	5	5	5	4	5	5	4	5	3	5	4	5	5	3	4	4	4	3
